model_a,model_b,mode,recall_floor,thr_a,thr_b,accuracy,macro_f1,score,ontime_recall,delay_recall,cancel_recall,model_a_prauc,model_b_prauc,balanced
A_2to1_logistic,B_1to1,macro_f1,0.3,0.01,0.12,0.193,0.1721,0.1721,0.1968,0.0811,0.8823,0.1185,0.3629,0.15184382999999999
A_2to1_logistic,B_1to1,cost_sensitive,0.3,0.01,0.1,0.1733,0.1675,0.0974,0.1612,0.1154,0.8823,0.1185,0.3629,0.14778525
A_2to1_logistic,B_1to1,macro_f1,0.35,0.01,0.12,0.193,0.1721,0.1721,0.1968,0.0811,0.8823,0.1185,0.3629,0.15184382999999999
A_2to1_logistic,B_1to1,cost_sensitive,0.35,0.01,0.1,0.1733,0.1675,0.0974,0.1612,0.1154,0.8823,0.1185,0.3629,0.14778525
A_2to1_logistic,B_1to1,macro_f1,0.4,0.01,0.12,0.193,0.1721,0.1721,0.1968,0.0811,0.8823,0.1185,0.3629,0.15184382999999999
A_2to1_logistic,B_1to1,cost_sensitive,0.4,0.01,0.1,0.1733,0.1675,0.0974,0.1612,0.1154,0.8823,0.1185,0.3629,0.14778525
A_2to1_logistic,B_1to1,macro_f1,0.5,0.01,0.12,0.193,0.1721,0.1721,0.1968,0.0811,0.8823,0.1185,0.3629,0.15184382999999999
A_2to1_logistic,B_1to1,cost_sensitive,0.5,0.01,0.1,0.1733,0.1675,0.0974,0.1612,0.1154,0.8823,0.1185,0.3629,0.14778525
A_3to1_focal,B_original,macro_f1,0.0,0.06,0.18,0.6924,0.4427,0.4427,0.7972,0.396,0.1386,0.1073,0.366,0.06135822
A_3to1_focal,B_original,cost_sensitive,0.0,0.06,0.16,0.6836,0.4422,0.2305,0.7787,0.4209,0.1386,0.1073,0.366,0.06128892
A_3to1_focal,B_original,macro_f1,0.25,0.02,0.16,0.5988,0.3993,0.3993,0.6858,0.3173,0.3874,0.1073,0.366,0.15468882
A_3to1_focal,B_original,cost_sensitive,0.25,0.02,0.15,0.583,0.3981,0.1948,0.6533,0.3589,0.3874,0.1073,0.366,0.15422394
A_3to1_focal,B_original,macro_f1,0.3,0.02,0.16,0.5988,0.3993,0.3993,0.6858,0.3173,0.3874,0.1073,0.366,0.15468882
A_3to1_focal,B_original,cost_sensitive,0.3,0.02,0.15,0.583,0.3981,0.1948,0.6533,0.3589,0.3874,0.1073,0.366,0.15422394
A_3to1_focal,B_original,macro_f1,0.35,0.02,0.16,0.5988,0.3993,0.3993,0.6858,0.3173,0.3874,0.1073,0.366,0.15468882
A_3to1_focal,B_original,cost_sensitive,0.35,0.02,0.15,0.583,0.3981,0.1948,0.6533,0.3589,0.3874,0.1073,0.366,0.15422394
A_3to1_focal,B_original,macro_f1,0.4,0.01,0.11,0.0913,0.0855,0.0855,0.073,0.0334,0.957,0.1073,0.366,0.08182350000000001
A_3to1_focal,B_original,cost_sensitive,0.4,0.01,0.1,0.0882,0.0855,0.0676,0.0671,0.0396,0.957,0.1073,0.366,0.08182350000000001
A_3to1_focal,B_original,macro_f1,0.5,0.01,0.11,0.0913,0.0855,0.0855,0.073,0.0334,0.957,0.1073,0.366,0.08182350000000001
A_3to1_focal,B_original,cost_sensitive,0.5,0.01,0.1,0.0882,0.0855,0.0676,0.0671,0.0396,0.957,0.1073,0.366,0.08182350000000001
A_3to1_focal,B_2to1,macro_f1,0.0,0.06,0.17,0.6848,0.4417,0.4417,0.782,0.4144,0.1386,0.1073,0.3649,0.061219619999999995
A_3to1_focal,B_2to1,cost_sensitive,0.0,0.05,0.16,0.664,0.4385,0.2303,0.7413,0.4611,0.1463,0.1073,0.3649,0.06415255
A_3to1_focal,B_2to1,macro_f1,0.25,0.02,0.17,0.5995,0.3987,0.3987,0.6881,0.3124,0.3874,0.1073,0.3649,0.15445638
A_3to1_focal,B_2to1,cost_sensitive,0.25,0.02,0.16,0.5846,0.3979,0.1946,0.6572,0.3527,0.3874,0.1073,0.3649,0.15414646
A_3to1_focal,B_2to1,macro_f1,0.3,0.02,0.17,0.5995,0.3987,0.3987,0.6881,0.3124,0.3874,0.1073,0.3649,0.15445638
A_3to1_focal,B_2to1,cost_sensitive,0.3,0.02,0.16,0.5846,0.3979,0.1946,0.6572,0.3527,0.3874,0.1073,0.3649,0.15414646
A_3to1_focal,B_2to1,macro_f1,0.35,0.02,0.17,0.5995,0.3987,0.3987,0.6881,0.3124,0.3874,0.1073,0.3649,0.15445638
A_3to1_focal,B_2to1,cost_sensitive,0.35,0.02,0.16,0.5846,0.3979,0.1946,0.6572,0.3527,0.3874,0.1073,0.3649,0.15414646
A_3to1_focal,B_2to1,macro_f1,0.4,0.01,0.11,0.0897,0.0856,0.0856,0.0698,0.0369,0.957,0.1073,0.3649,0.0819192
A_3to1_focal,B_2to1,cost_sensitive,0.4,0.01,0.1,0.0889,0.0856,0.0675,0.0683,0.0386,0.957,0.1073,0.3649,0.0819192
A_3to1_focal,B_2to1,macro_f1,0.5,0.01,0.11,0.0897,0.0856,0.0856,0.0698,0.0369,0.957,0.1073,0.3649,0.0819192
A_3to1_focal,B_2to1,cost_sensitive,0.5,0.01,0.1,0.0889,0.0856,0.0675,0.0683,0.0386,0.957,0.1073,0.3649,0.0819192
A_3to1_focal,B_1to1,macro_f1,0.0,0.06,0.17,0.6997,0.4412,0.4412,0.8154,0.3656,0.1386,0.1073,0.3629,0.06115032
A_3to1_focal,B_1to1,cost_sensitive,0.0,0.06,0.16,0.6744,0.4402,0.2302,0.7612,0.44,0.1386,0.1073,0.3629,0.06101172
